Query_number,doc_number
1,401988
1,298650
1,103289
1,466168
1,136852
1,308528
1,295099
1,478477
1,447965
1,480924
2,480473
2,453322
2,332227
2,4573
2,37878
2,325024
2,259429
2,189408
2,165445
2,17607
3,428931
3,412243
3,5024
3,22348
3,74214
3,10793
3,2597
3,389228
3,250136
3,446120
4,145976
4,184343
4,33529
4,381263
4,324079
4,263966
4,129737
4,240685
4,289875
4,271841
5,501445
5,493414
5,488920
5,488270
5,486419
5,483487
5,483073
5,481750
5,476498
5,470586
6,470680
6,435061
6,426815
6,424494
6,291285
6,243803
6,208362
6,139816
6,137921
6,56244
7,399066
7,394711
7,342031
7,369910
7,242256
7,56415
7,237313
7,298581
7,268736
7,461005
8,234061
8,447752
8,438251
8,437326
8,305620
8,300580
8,274856
8,232053
8,178475
8,175860
9,95059
9,255713
9,102770
9,357689
9,325779
9,333447
9,62523
9,300646
9,382221
9,436759
10,286205
10,163609
10,500202
10,453326
10,394283
10,297761
10,302980
10,146598
10,120133
10,67533
11,454275
11,375415
11,330152
11,290059
11,240232
11,95851
11,87610
11,41848
11,84207
11,156791
12,120133
12,76487
12,11557
12,484441
12,463487
12,458173
12,452836
12,402765
12,401771
12,400144
13,297014
13,170803
13,69522
13,350759
13,170074
13,490185
13,180017
13,54898
13,253590
13,48370
14,333213
14,193975
14,46232
14,1525
14,485637
14,484200
14,477955
14,466604
14,454978
14,438600
15,401005
15,346231
15,206700
15,14387
15,107973
15,331793
15,399345
15,265818
15,117127
15,475916
16,498259
16,496353
16,493485
16,492288
16,490616
16,488193
16,487478
16,483457
16,471458
16,470574
17,419231
17,429186
17,293417
17,103236
17,447933
17,409260
17,390254
17,357216
17,351287
17,271328
18,268226
18,297309
18,179059
18,44653
18,96953
18,488874
18,481190
18,428761
18,358690
18,323682
19,50831
19,338083
19,458937
19,425968
19,339154
19,394966
19,128749
19,477347
19,155517
19,440478
20,483352
20,262591
20,103236
20,78051
20,446893
20,4573
20,275749
20,134411
20,164801
20,434173
21,250951
21,486180
21,483285
21,482134
21,478104
21,476937
21,474409
21,470219
21,462146
21,438632
22,491838
22,346310
22,33323
22,474202
22,229839
22,348195
22,360294
22,163465
22,113758
22,121921
23,393003
23,37614
23,144533
23,340504
23,92263
23,430684
23,492077
23,363247
23,283819
23,121616
24,156761
24,138977
24,354934
24,83951
24,166804
24,439246
24,443730
24,320100
24,207963
24,425062
25,460467
25,420248
25,13831
25,10519
25,349940
25,481168
25,176748
25,8069
25,109656
25,472168
26,485838
26,335614
26,152424
26,149001
26,126359
26,69218
26,39234
26,284651
26,239773
26,19402
27,493236
27,444059
27,402000
27,396107
27,327865
27,323276
27,293672
27,280134
27,254702
27,225866
28,498766
28,494831
28,449763
28,436850
28,413416
28,398331
28,395221
28,385154
28,361030
28,312584
29,461160
29,388119
29,101300
29,134929
29,488637
29,281
29,357304
29,305294
29,315773
29,206538
30,224425
30,374467
30,263788
30,297558
30,424593
30,187671
30,15200
30,430715
30,71401
30,336588
31,495870
31,494951
31,464691
31,464395
31,446066
31,406534
31,402149
31,392929
31,391830
31,380180
32,101833
32,244564
32,116974
32,490668
32,6336
32,454778
32,311822
32,453525
32,169201
32,372408
33,310651
33,250171
33,281724
33,303413
33,108737
33,26374
33,125950
33,114182
33,153148
33,12633
34,309872
34,34211
34,390698
34,363930
34,66581
34,353800
34,264102
34,16636
34,144040
34,282103
35,495534
35,333471
35,277595
35,164296
35,16792
35,136318
35,335101
35,287354
35,408104
35,404531
36,484349
36,210099
36,268490
36,96794
36,394974
36,309149
36,291459
36,459049
36,424466
36,387108
37,452865
37,84590
37,60907
37,489009
37,485579
37,467565
37,461322
37,453006
37,360092
37,342772
38,174720
